                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.94505,                0.97526,                 1.3038,                0.66413,                0.67583,                0.70271,                0.47864,                 1.2247,                 1.2561,                 1.6334,               0.005842,               0.005842,               0.005842
                     65,                0.91022,                0.97278,                 1.2758,                0.67689,                0.69424,                0.72561,                 0.4887,                  1.208,                 1.2743,                  1.607,               0.005776,               0.005776,               0.005776
                     66,                0.92397,                0.95954,                 1.2926,                0.67527,                0.70551,                0.74232,                0.50596,                 1.1946,                 1.2182,                 1.6105,                0.00571,                0.00571,                0.00571
                     67,                 0.9258,                0.92674,                 1.2867,                  0.655,                0.71752,                0.74094,                0.50409,                 1.2148,                 1.2466,                 1.6358,               0.005644,               0.005644,               0.005644
                     68,                0.91616,                0.94956,                 1.2896,                0.67093,                0.71051,                0.73529,                0.50006,                 1.2277,                 1.2224,                 1.6368,               0.005578,               0.005578,               0.005578
                     69,                0.92041,                0.94739,                  1.288,                0.69983,                0.69066,                0.72886,                0.49286,                 1.2123,                 1.2548,                 1.6157,               0.005512,               0.005512,               0.005512
                     70,                0.91665,                0.94544,                 1.2844,                0.68553,                0.73588,                0.73488,                0.49233,                 1.2231,                 1.1858,                 1.6053,               0.005446,               0.005446,               0.005446
                     71,                0.92247,                0.92556,                  1.278,                 0.7019,                0.68923,                0.72455,                0.49134,                  1.228,                  1.235,                 1.6206,                0.00538,                0.00538,                0.00538
                     72,                0.90248,                0.91919,                  1.269,                0.68983,                0.68382,                0.72825,                0.49781,                 1.2052,                 1.2336,                 1.6175,               0.005314,               0.005314,               0.005314
                     73,                0.89495,                0.89741,                 1.2639,                0.74865,                0.69003,                 0.7625,                0.51443,                 1.2363,                  1.194,                 1.6343,               0.005248,               0.005248,               0.005248
                     74,                0.89804,                0.90457,                 1.2683,                0.67043,                0.69956,                0.72696,                0.49609,                 1.2176,                 1.2421,                 1.6053,               0.005182,               0.005182,               0.005182
                     75,                0.89565,                0.86159,                  1.272,                0.69484,                0.70711,                0.74556,                0.50519,                 1.1978,                 1.2682,                  1.592,               0.005116,               0.005116,               0.005116
                     76,                0.88728,                0.86474,                 1.2497,                0.74087,                0.67044,                0.74331,                0.50692,                 1.1974,                 1.2119,                 1.5951,                0.00505,                0.00505,                0.00505
                     77,                0.90188,                0.86426,                 1.2659,                 0.6942,                0.68747,                0.73949,                0.49562,                 1.2385,                 1.1979,                 1.6378,               0.004984,               0.004984,               0.004984
                     78,                0.87884,                0.87469,                 1.2536,                0.74486,                0.66371,                0.75155,                0.50716,                  1.237,                 1.2433,                 1.6547,               0.004918,               0.004918,               0.004918
                     79,                0.89461,                0.86017,                 1.2592,                 0.6724,                0.70104,                0.72017,                0.48968,                 1.2101,                 1.2153,                  1.607,               0.004852,               0.004852,               0.004852
                     80,                0.86563,                0.85232,                 1.2424,                0.72579,                0.67681,                0.74317,                0.50817,                 1.2211,                 1.2012,                 1.6116,               0.004786,               0.004786,               0.004786
                     81,                0.86419,                 0.8386,                  1.242,                0.70469,                0.68291,                0.72666,                 0.4969,                 1.2015,                 1.2543,                 1.6204,                0.00472,                0.00472,                0.00472
                     82,                0.88284,                0.86274,                  1.257,                0.72481,                0.67628,                0.74643,                0.51279,                 1.2275,                 1.1913,                 1.6291,               0.004654,               0.004654,               0.004654
                     83,                0.85953,                0.83518,                 1.2372,                0.70239,                0.69888,                0.73029,                0.49976,                 1.2202,                 1.1896,                 1.6231,               0.004588,               0.004588,               0.004588
                     84,                0.85826,                0.81267,                 1.2372,                 0.6903,                0.68296,                0.73464,                0.49388,                 1.2452,                 1.2392,                 1.6453,               0.004522,               0.004522,               0.004522
                     85,                0.84453,                 0.8393,                 1.2427,                0.75613,                 0.6313,                0.73696,                0.49473,                 1.2496,                 1.2095,                 1.6683,               0.004456,               0.004456,               0.004456
                     86,                 0.8457,                0.80434,                 1.2259,                0.75621,                0.63663,                0.73214,                  0.492,                 1.2535,                 1.2695,                 1.6707,                0.00439,                0.00439,                0.00439
                     87,                0.84908,                0.78648,                 1.2207,                0.71952,                0.67541,                 0.7266,                0.48837,                 1.2331,                 1.2315,                 1.6565,               0.004324,               0.004324,               0.004324
                     88,                0.83536,                0.82573,                 1.2269,                0.69011,                 0.7155,                0.73803,                0.50242,                 1.2286,                 1.1984,                 1.6487,               0.004258,               0.004258,               0.004258
                     89,                0.84579,                0.78953,                 1.2297,                0.70842,                0.71083,                0.75743,                0.52132,                 1.2147,                 1.2021,                 1.6254,               0.004192,               0.004192,               0.004192
                     90,                0.85073,                0.82756,                 1.2435,                0.72589,                0.71292,                0.74831,                0.50994,                 1.2191,                 1.1773,                 1.6266,               0.004126,               0.004126,               0.004126
                     91,                0.82111,                0.81759,                 1.2202,                0.71616,                0.69231,                0.73924,                0.50561,                  1.198,                 1.2099,                 1.6165,                0.00406,                0.00406,                0.00406
                     92,                0.83612,                0.78782,                 1.2188,                0.70265,                0.68598,                0.74023,                0.51035,                 1.1787,                 1.2079,                  1.592,               0.003994,               0.003994,               0.003994
